2015-05-02 0:51:35 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\server\www\vaj_form\app\controller\common\home.php on line 91
2015-05-02 0:51:35 - PHP Warning:  sprintf(): Too few arguments in C:\server\www\vaj_form\app\controller\common\home.php on line 94
2015-05-02 0:51:35 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\common\home.php on line 136 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-05-02 0:51:35 - PHP Notice:  Undefined variable: home in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 51
2015-05-02 0:51:35 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-02 0:51:35 - PHP Notice:  Undefined variable: action_user_profile in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 60
2015-05-02 0:51:35 - PHP Notice:  Undefined variable: action_logout in C:\server\www\vaj_form\app\view\template\common\header.tpl on line 61
2015-05-02 0:51:35 - PHP Warning:  Missing argument 5 for HModel::getArrays(), called in C:\server\www\vaj_form\app\controller\common\home.php on line 248 and defined in C:\server\www\vaj_form\system\engine\hmodel.php on line 65
2015-05-02 0:51:36 - PHP Notice:  Undefined index: mohallah_id in C:\server\www\vaj_form\app\model\common\home.php on line 17
2015-05-02 0:51:36 - PHP Notice:  Undefined index: mohallah_id in C:\server\www\vaj_form\app\model\common\home.php on line 31
2015-05-27 15:00:03 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-27 15:00:17 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-27 15:01:15 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-27 15:02:08 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-27 15:04:34 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-27 15:05:01 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-27 15:14:54 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-27 15:15:07 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-27 15:20:06 - PHP Notice:  Undefined index: route in C:\server\www\vaj_form\app\controller\common\header.php on line 23
2015-05-27 15:33:01 - PHP Notice:  Undefined index: employee_id in C:\server\www\vaj_form\system\library\user.php on line 48
2015-05-27 15:33:01 - PHP Warning:  fopen(C:\server\www\vaj_form/image/cache/test): failed to open stream: No such file or directory in C:\server\www\vaj_form\app\controller\common\home.php on line 53
